feature,best_threshold,roc_auc,pr_auc,precision,recall,f1
V12,-11.079459370826179,0.8801724908250572,0.4834277320876531,0.7647058823529411,0.527027027027027,0.624
V14,-19.423375351884864,0.959520932051239,0.5262466291078689,0.5797101449275363,0.5405405405405406,0.5594405594405595
V17,-17.36295594748699,0.9142130969574869,0.4560244078566667,0.5507246376811594,0.5135135135135135,0.5314685314685315
V11,-6.735339378232506,0.9045305300141514,0.3512072839871356,0.5714285714285714,0.43243243243243246,0.49230769230769234
V16,-11.719475027534145,0.8812837505125357,0.31464914061689364,0.5957446808510638,0.3783783783783784,0.4628099173553719
V18,-10.972665402164695,0.7810229039272114,0.2720954253277238,0.7916666666666666,0.25675675675675674,0.3877551020408163
V19,-9.934226317825305,0.7456140573241424,0.02070178657410284,0.09090909090909091,0.05405405405405406,0.06779661016949153
V13,-4.255569001370053,0.6015505035365752,0.002844214111237757,0.005454545454545455,0.04054054054054054,0.009615384615384616
V15,-12.880111551156705,0.5284187158058709,0.009177965355416848,0.0,0.0,0.0
V20,-52.81430976380246,0.6879765314121775,0.004102746459092921,0.0,0.0,0.0
